Patrones: PayasoLanderANN
Salidas: GiroD, Nula, GiroI, ImpGiroD, Impulso, ImpGiroI
Entradas: Px, Py, Vx, Vy, Ang, Vv
2.599068,-23.198474,-28.927372,20.575683,-25.553008,0.000000,1
1.410252,-22.495353,-26.953258,21.425994,-43.578611,0.000000,4
-0.615903,-21.196552,-15.136833,14.711915,-69.822425,0.000000,3
-1.093825,-20.764386,-9.240600,12.904010,-81.738831,0.000000,5
-1.342350,-20.364018,-5.156184,13.102063,-84.392449,0.000000,2
-1.627146,-19.684179,-4.953010,17.536143,-76.457401,0.000000,1
-1.967599,-18.574316,-4.710263,22.836958,-66.820997,0.000000,2
-2.353556,-16.883521,-4.434619,28.843946,-41.470473,0.000000,1
-2.588907,-15.570522,-3.558477,30.255243,-27.060688,0.000000,4
-2.682457,-12.877066,0.876215,15.419680,-7.357035,0.000000,1
-2.574934,-10.904171,0.894822,22.414226,-3.556225,0.000000,3
-2.523514,-10.280381,1.427545,18.050168,-9.253763,0.000000,4
-2.475313,-9.911283,1.686819,17.729721,-12.711020,0.000000,1
-2.352505,-8.818613,2.093858,20.551404,-18.720466,0.000000,4
-1.859269,-7.559919,5.717919,12.218736,-23.657326,0.000000,1
-0.912863,-4.932069,5.068277,25.717999,-24.317712,0.000000,2
-0.798819,-4.527857,5.521079,24.628421,-21.127672,0.000000,5
-0.534076,-3.830446,6.484755,20.251050,-11.063610,0.000000,4
0.029258,-2.825850,6.511585,14.246019,2.891782,0.000000,1
0.386431,-2.123590,6.035510,16.139215,8.349172,0.000000,4
62.238560,-33.383855,0.000000,0.000000,0.000000,0.000000,1
62.238560,-33.369894,0.000000,1.280370,0.961577,0.000000,2
62.232460,-33.131935,-0.431915,4.891972,16.540962,0.000000,5
60.744099,-33.352210,-17.977702,-4.233970,100.000000,0.000000,4
59.842056,-33.471937,-21.725154,-2.845072,100.000000,0.000000,1
58.613759,-33.471356,-23.045307,0.950631,100.000000,0.000000,4
52.625157,-33.356946,-45.150904,0.842626,100.000000,0.000000,3
48.332273,-33.311997,-52.665720,1.419193,83.620323,0.000000,0
46.134593,-33.186785,-51.101496,5.116681,68.766688,0.000000,1
42.609270,-32.745793,-49.877618,8.868189,51.323273,0.000000,4
40.428312,-32.527490,-51.877925,5.729810,43.561518,0.000000,3
35.182653,-32.444040,-52.762706,-2.510932,9.218814,0.000000,4
34.434271,-32.457189,-52.235079,-1.214687,4.369597,0.000000,1
24.209466,-31.125511,-44.157979,14.141621,-29.816978,0.000000,4
16.588897,-30.401372,-25.274946,-1.860110,-37.053860,0.000000,1
12.574853,-29.638261,-21.417295,10.304739,-38.235331,0.000000,4
10.433902,-29.172951,-10.951652,1.543393,-38.537828,0.000000,1
9.390279,-28.692459,-10.207655,9.978462,-37.688454,0.000000,2
8.285324,-27.404048,-9.419060,18.908593,-7.308723,0.000000,1
7.143252,-25.082706,-8.604473,28.138600,19.770561,0.000000,2
7.013206,-24.795615,-9.126913,26.667365,23.209838,0.000000,5
6.728694,-24.271704,-10.412522,23.865217,29.853419,0.000000,3
5.651322,-23.014537,-13.608524,18.233881,24.583379,0.000000,0
5.270176,-22.588173,-13.337714,20.380980,17.784580,0.000000,1
4.356623,-21.335686,-12.684034,25.521024,5.079778,0.000000,0
3.652640,-20.131119,-12.184232,29.489883,-11.192084,0.000000,1
2.665383,-18.055661,-10.725691,32.681440,-28.491610,0.000000,4
2.400219,-17.403930,-8.926197,29.793985,-31.297191,0.000000,5
2.184518,-16.809711,-7.144079,26.954165,-30.991673,0.000000,4
1.889638,-15.776856,-4.534637,23.870745,-30.545358,0.000000,1
1.293501,-12.670746,-3.316859,31.179948,-29.991767,0.000000,4
1.257771,-12.354058,-2.534528,29.732222,-29.044614,0.000000,5
1.206923,-11.738439,-1.786988,29.266256,-24.735462,0.000000,2
1.132499,-10.737351,-1.733913,32.129667,-14.305770,0.000000,1
