Patrones: PayasoLanderANN
Salidas: GiroD, Nula, GiroI, ImpGiroD, Impulso, ImpGiroI
Entradas: Px, Py, Vx, Vy, Ang, Vv
-80.894614,-65.395137,18.537887,40.027848,-59.689199,0.000000,4
-76.947915,-61.510157,29.369507,28.944535,-50.597343,0.000000,1
-75.710330,-60.545690,29.746912,29.615066,-49.474681,0.000000,4
-68.504012,-57.442447,41.686377,13.292770,-46.205787,0.000000,5
-64.794770,-56.849795,44.635103,6.224505,-26.401795,0.000000,4
-64.169141,-56.770439,44.188752,7.418394,-22.851772,0.000000,1
-61.128932,-56.213062,42.303855,10.715022,-10.691233,0.000000,3
-57.562895,-55.794464,41.587180,5.385655,-22.275811,0.000000,0
-56.981684,-55.724235,41.171309,6.584277,-25.612362,0.000000,1
-52.522247,-54.712522,37.990607,15.782541,-41.842653,0.000000,2
-51.974866,-54.556347,38.665502,14.600880,-41.380265,0.000000,5
-49.129127,-53.941913,40.387260,10.944325,-28.415082,0.000000,1
-44.757623,-52.574647,37.267130,19.799179,-11.410691,0.000000,2
-44.231829,-52.378196,37.116182,18.354135,-8.434001,0.000000,5
-42.176586,-51.744157,35.470290,12.687543,8.270734,0.000000,4
-40.724517,-51.396614,33.708255,11.159631,18.547300,0.000000,1
-37.961800,-50.428457,31.735653,17.851860,30.566608,0.000000,0
-37.527952,-50.251454,30.634819,16.542125,30.277216,0.000000,3
-35.196916,-49.458082,25.855022,11.118991,12.548087,0.000000,0
-34.473548,-49.182616,25.340507,13.405116,3.081954,0.000000,1
-30.114321,-46.295325,22.935857,24.731423,-26.912669,0.000000,4
-29.094794,-45.589181,24.501113,20.605404,-30.624860,0.000000,3
-25.906543,-44.280502,31.922218,11.835513,-65.306174,0.000000,4
-24.431447,-43.944270,36.172236,9.864781,-76.838029,0.000000,5
-20.925231,-43.435785,44.652402,6.436973,-72.982527,0.000000,4
-19.987982,-43.303568,44.205878,8.253676,-70.354437,0.000000,1
-18.459136,-43.031223,42.892919,11.120530,-65.942387,0.000000,2
-17.835981,-42.921225,44.004756,10.280733,-63.031557,0.000000,5
-14.529759,-42.524763,48.035635,5.313281,-41.035634,0.000000,4
-13.851759,-42.454475,47.555278,6.525064,-36.881825,0.000000,1
-7.484194,-41.078288,43.008141,17.901954,-11.818888,0.000000,2
-4.529148,-39.949964,40.900314,23.182135,8.125645,0.000000,1
-73.529412,-79.135802,6.826390,-68.009449,-14.233620,0.000000,1
-71.037628,-92.202426,5.049483,-17.591688,-92.489051,0.000000,1
-69.195163,-91.366181,3.735104,19.691014,-95.803736,0.000000,1
-68.417664,-86.530668,3.180284,35.421928,-94.997810,0.000000,2
-68.114743,-83.612447,2.964232,41.551661,-70.249442,0.000000,1
-67.244402,-71.101460,3.243851,56.555464,-34.600057,0.000000,4
-65.823921,-65.159418,11.714214,39.900334,-32.112790,0.000000,1
-63.372939,-57.166752,10.783440,50.257163,-31.314954,0.000000,4
-61.059868,-52.361987,18.127103,33.249406,-32.104388,0.000000,3
-58.566790,-50.021501,25.833969,23.354566,-62.477249,0.000000,4
-56.928801,-49.091992,29.784399,21.922093,-77.148416,0.000000,1
-55.688588,-48.322177,28.899773,25.002646,-83.808649,0.000000,2
-54.855062,-47.772236,30.251180,25.391614,-83.417721,0.000000,5
-51.860677,-46.281102,37.171441,22.740921,-64.015730,0.000000,2
-51.341585,-46.027820,36.799727,23.765010,-59.797542,0.000000,1
-48.807948,-44.591754,34.996174,28.771573,-43.214296,0.000000,2
-48.309438,-44.301645,35.637959,27.449540,-39.250850,0.000000,5
-46.235933,-43.277015,36.985392,21.831747,-19.413016,0.000000,4
-44.153002,-42.469961,36.389174,18.587935,-4.283381,0.000000,1
-73.529412,-79.135802,-42.409130,-8.575022,34.696679,0.000000,1
-79.224266,-79.285667,-38.354057,4.280486,-11.162607,0.000000,0
-82.356680,-78.767449,-34.992448,9.072901,-42.909223,0.000000,3
-85.115290,-78.305819,-23.262158,6.012932,-92.596973,0.000000,1
-88.786915,-76.586715,-18.460772,18.346479,-100.000000,0.000000,4
-87.443488,-73.030090,22.350551,16.292190,-100.000000,0.000000,1
-84.168738,-70.370433,20.011303,27.721007,-99.135124,0.000000,2
-82.791399,-68.729149,19.030550,32.531754,-84.701836,0.000000,1
-78.810748,-61.900008,17.690566,44.303806,-60.024376,0.000000,4
-76.196222,-58.553502,25.983086,36.738928,-56.822843,0.000000,1
-74.743290,-56.912022,26.349541,38.141922,-55.991626,0.000000,4
-70.165151,-53.529280,36.973089,26.383381,-54.018215,0.000000,5
-67.371659,-52.309170,40.849223,20.344603,-39.132561,0.000000,4
-66.203314,-51.888568,40.949032,20.143761,-33.223673,0.000000,1
-62.841181,-50.391321,39.112803,23.856661,-21.466380,0.000000,4
-61.724293,-49.925555,39.377010,20.983386,-19.857835,0.000000,3
-59.470940,-49.176492,40.221600,15.511061,-26.452046,0.000000,4
-58.321823,-48.858569,40.148584,15.336370,-30.024018,0.000000,1
-73.529412,-79.135802,-46.289775,1.596746,27.273161,0.000000,1
-83.173342,-77.143042,-39.413788,20.030731,86.156335,0.000000,0
-90.916516,-72.657581,-34.363262,32.312895,17.506231,0.000000,3
-95.709084,-66.666100,18.662570,14.333520,-100.000000,0.000000,3
-84.072656,-63.778687,56.503837,11.606252,-100.000000,0.000000,4
-83.282499,-63.642683,55.938798,12.743421,-100.000000,0.000000,1
-75.078285,-61.372986,50.084146,24.553716,-100.000000,0.000000,2
-65.250151,-56.191614,43.075288,38.703861,-38.003849,0.000000,1
-64.039850,-55.362514,42.932204,38.021646,-27.519196,0.000000,4
-60.994812,-53.553461,42.597451,32.683463,-9.190896,0.000000,1
-58.636847,-52.080205,40.921217,33.824647,-0.085825,0.000000,4
-56.942896,-51.098474,39.484001,29.101748,3.675648,0.000000,3
-54.230422,-49.785248,37.669179,21.518586,-5.819337,0.000000,4
-53.702209,-49.543817,37.292487,22.560062,-8.144755,0.000000,1
-49.656190,-47.251762,34.938120,28.052302,-20.054658,0.000000,4
-47.138258,-45.954472,35.471720,23.319678,-23.749035,0.000000,1
-73.529412,-79.135802,-10.665295,53.050554,83.096751,0.000000,1
-74.263332,-76.177976,-10.142590,56.617623,78.268555,0.000000,0
-75.884478,-68.383584,-9.435208,61.974901,16.959070,0.000000,3
-76.155690,-67.118597,-9.580404,58.258425,3.111055,0.000000,4
-77.169282,-61.455815,-3.261746,42.270199,-37.450000,0.000000,1
-77.200770,-61.019380,-2.224101,40.801241,-39.304454,0.000000,4
-74.441556,-55.131521,19.536291,18.699111,-53.974205,0.000000,1
-72.822348,-53.720475,19.760307,22.835256,-54.923036,0.000000,4
-69.581307,-52.001340,28.566478,15.667308,-55.589877,0.000000,1
-67.990009,-51.240463,28.825670,17.884176,-55.732923,0.000000,4
-63.635036,-49.995790,38.307774,9.069402,-54.975361,0.000000,5
-61.352596,-49.689201,40.524555,7.293336,-43.729702,0.000000,2
-60.788656,-49.599272,40.119309,8.467528,-40.342847,0.000000,1
-56.434988,-48.459608,37.615061,15.080480,-22.853672,0.000000,4
-53.747420,-47.840520,37.794156,10.908745,-17.440832,0.000000,1
-73.529412,-79.135802,68.442198,-33.535125,-80.846707,0.000000,1
-54.485914,-83.007990,54.865360,-1.944865,-64.534596,0.000000,2
-49.993269,-82.851701,51.654647,5.508064,-44.326601,0.000000,1
-38.004265,-79.710340,43.106514,25.398544,-12.797819,0.000000,2
-35.620957,-78.516013,41.407945,29.353339,-0.604229,0.000000,1
-28.016415,-73.115001,35.399558,39.531401,21.984583,0.000000,4
-24.481906,-70.296927,28.425222,29.825552,25.806966,0.000000,1
-19.261856,-64.824137,23.966800,39.994717,28.034378,0.000000,4
-17.031257,-61.984159,16.477575,28.042858,27.487958,0.000000,3
-16.018265,-60.716522,13.160192,20.783418,12.945303,0.000000,4
-15.833760,-60.482923,13.028590,21.832019,9.890650,0.000000,1
-14.418639,-58.247339,12.175603,27.331900,-5.780774,0.000000,4
-12.792096,-56.328460,13.459118,14.245226,-12.093341,0.000000,5
-12.013810,-55.864304,13.669479,8.740981,-3.303211,0.000000,4
-11.635203,-55.694331,13.424732,8.602401,0.983749,0.000000,1
-73.529412,-79.135802,63.050746,-32.991088,-93.004950,0.000000,1
-58.152321,-82.804312,52.090548,-5.398865,-83.370112,0.000000,2
-51.847533,-82.710892,47.585614,5.916359,-46.111497,0.000000,1
-33.988183,-74.986260,34.847105,37.966011,-1.414929,0.000000,1
-31.124821,-72.378271,32.823345,40.572795,-0.583339,0.000000,4
-29.310481,-70.790849,31.561393,36.556407,-0.259596,0.000000,1
-19.828838,-58.778404,24.788957,53.123177,0.309411,0.000000,4
-16.511547,-54.087808,22.344618,38.542286,0.341541,0.000000,1
-73.529412,-79.135802,-35.293811,41.842752,-69.166791,0.000000,1
-82.914705,-67.806022,-26.396884,56.530788,-100.000000,0.000000,4
-84.690349,-63.176488,-7.538562,52.150023,-99.413789,0.000000,5
-84.494773,-58.991204,8.136961,45.787432,-70.803627,0.000000,4
-82.630944,-55.143553,18.014155,36.710124,-45.469428,0.000000,1
-81.623629,-53.506684,18.323349,37.913319,-39.977549,0.000000,4
-71.691041,-48.066547,33.523867,3.683130,-31.072960,0.000000,3
-68.108986,-48.107497,38.685207,-3.333102,-55.474561,0.000000,4
-66.984180,-48.181175,39.363618,-2.778812,-62.872573,0.000000,1
-64.788670,-48.183540,39.561415,0.474214,-73.660596,0.000000,4
-60.288735,-48.280338,49.634170,-2.398057,-83.479499,0.000000,5
-54.052495,-48.637390,57.596311,-4.508113,-57.758239,0.000000,2
-53.235238,-48.671950,57.020348,-3.191406,-53.021234,0.000000,1
-42.743265,-47.789026,50.070593,11.240731,-20.468217,0.000000,4
-39.201345,-47.369717,49.481601,7.235173,-16.515702,0.000000,1
-32.516340,-78.395062,-64.416084,-63.990856,92.978862,0.000000,1
-41.152078,-84.159046,-58.256752,-45.857844,100.000000,0.000000,0
-61.803985,-91.100529,-43.527819,-2.505289,-84.645260,0.000000,1
-77.693184,-86.097570,-32.197544,30.839654,-100.000000,0.000000,1
-78.113807,-85.770862,-29.699163,30.531258,-100.000000,0.000000,4
-78.464815,-78.840301,23.289174,23.967491,-99.105266,0.000000,5
-75.477605,-77.154796,33.366280,22.207317,-73.538479,0.000000,2
-75.009855,-76.906138,33.032617,23.241566,-68.804073,0.000000,1
-70.147368,-73.492623,30.576876,31.740655,-40.424055,0.000000,3
-66.792489,-71.496508,36.743093,23.215837,-58.054729,0.000000,4
-66.277046,-71.236980,36.375662,24.240868,-61.315144,0.000000,1
-62.787429,-69.142585,35.709871,29.382995,-76.612805,0.000000,4
-60.554462,-67.962717,41.629548,26.519146,-80.524071,0.000000,5
-57.314967,-66.663009,48.291337,22.675928,-69.606503,0.000000,4
-56.631835,-66.406959,47.808423,23.716912,-67.045027,0.000000,1
-51.440356,-64.019109,45.461971,29.460822,-54.049714,0.000000,4
-48.057159,-62.605885,48.294905,25.789708,-50.017751,0.000000,1
-44.743332,-61.070408,45.927974,30.675270,-46.718074,0.000000,2
-42.496452,-59.897033,45.936219,30.636819,-35.995773,0.000000,5
-40.849087,-59.142238,46.427185,26.876343,-25.352391,0.000000,4
-39.882143,-58.689643,45.962913,28.474065,-19.914933,0.000000,1
-34.621844,-55.725309,42.023037,33.802097,-1.335107,0.000000,4
-31.740420,-54.142470,39.802771,28.502592,3.892597,0.000000,1
-29.543818,-52.846416,38.063823,29.822820,6.484358,0.000000,4
-27.465691,-51.707378,35.991016,26.230568,8.184228,0.000000,1
-32.516340,-78.395062,-38.562836,54.486527,58.829656,0.000000,1
-39.612561,-69.467372,-33.501302,63.825616,48.811314,0.000000,0
-40.563110,-68.105770,-33.952712,62.805314,44.030050,0.000000,3
-41.054018,-67.451559,-34.672253,61.155222,41.553697,0.000000,4
-41.554000,-66.815109,-35.308887,59.487765,38.398916,0.000000,3
-50.724519,-57.009397,-12.227987,31.068772,-100.000000,0.000000,4
-49.597071,-52.409225,19.908285,26.720958,-100.000000,0.000000,5
-48.189536,-51.294401,27.582655,25.423159,-94.576487,0.000000,4
-40.300549,-48.025503,47.901856,19.812786,-81.962551,0.000000,1
-38.283309,-47.341434,48.363217,21.285651,-80.948613,0.000000,4
-32.135054,-45.738898,57.191748,18.051240,-79.391041,0.000000,1
-29.732307,-45.110235,57.333003,19.550265,-79.072782,0.000000,4
-28.054762,-44.712574,59.854411,18.256923,-77.983622,0.000000,5
-23.598342,-43.833026,63.596809,16.358352,-62.086505,0.000000,2
-19.228879,-42.784878,60.479933,21.714407,-34.680556,0.000000,1
-14.267506,-41.161395,56.940656,27.795969,-10.752819,0.000000,2
-10.364502,-39.547663,53.743931,30.105263,15.495352,0.000000,5
-8.184269,-38.674538,49.968201,25.816631,34.517140,0.000000,4
-6.831749,-38.161580,46.799811,23.294003,45.729278,0.000000,5
-2.990235,-36.684283,31.991903,18.009077,93.250500,0.000000,4
-1.525981,-35.932349,22.154538,17.282957,100.000000,0.000000,3
-0.169999,-34.515521,6.051321,16.836451,87.819797,0.000000,0
0.563178,-32.385964,5.527986,26.239049,35.590561,0.000000,1
0.862731,-31.183161,4.880829,27.673884,16.327468,0.000000,4
1.257434,-29.530701,3.736106,19.822564,-2.823805,0.000000,1
-36.601307,-78.888889,-79.340124,-11.195563,-76.035794,0.000000,1
-54.077871,-78.799516,-66.879218,10.303963,-76.139409,0.000000,0
-56.833493,-78.412913,-62.953649,12.108255,-83.555085,0.000000,3
-66.893358,-75.220257,9.859282,8.549686,-100.000000,0.000000,3
-56.143221,-73.352951,52.704107,6.785154,-100.000000,0.000000,4
-54.616978,-73.197083,53.803344,7.901552,-100.000000,0.000000,1
-44.716459,-70.746371,46.741430,23.355246,-100.000000,0.000000,2
-38.446803,-67.660883,42.272111,33.143423,-66.181128,0.000000,1
-30.660049,-61.729470,37.556579,42.906312,-32.261060,0.000000,4
-26.794715,-58.949719,39.394176,34.647703,-27.008127,0.000000,1
-20.018575,-53.302195,35.182340,43.349826,-23.415345,0.000000,4
-15.908529,-50.199986,37.065989,30.845858,-21.779360,0.000000,5
-15.392516,-49.862280,36.695329,31.785015,-19.980651,0.000000,2
-12.855127,-48.000119,34.896893,36.425448,-1.909728,0.000000,1
-10.012992,-45.506216,32.471767,39.124957,14.609287,0.000000,4
-7.492922,-43.345620,27.448953,29.816507,24.392946,0.000000,5
-5.494697,-41.739364,20.234429,21.876980,48.591744,0.000000,4
-4.401794,-40.734556,12.116849,16.946863,64.227480,0.000000,3
-3.834553,-39.806643,4.674566,14.489009,53.716377,0.000000,0
-3.738774,-39.559688,4.581542,16.043356,48.730003,0.000000,1
-36.601307,-78.888889,63.384457,6.231092,-18.426989,0.000000,1
-21.145367,-75.327682,52.366250,26.988280,41.636512,0.000000,2
-20.430967,-75.053955,50.734261,25.728350,43.886990,0.000000,5
-15.172181,-73.061611,32.612994,17.794333,87.763831,0.000000,4
-14.320923,-72.676552,29.923194,18.545612,97.368862,0.000000,1
-13.074928,-72.012957,29.034445,21.726741,100.000000,0.000000,0
